"","Units","scenario","region","subresource","year","value","rundate"
"95","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2025,0,2024-03-11 09:44:58
"96","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2030,0,2024-03-11 09:44:58
"97","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2035,0,2024-03-11 09:44:58
"98","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2040,0,2024-03-11 09:44:58
"99","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2045,0,2024-03-11 09:44:58
"100","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2050,0,2024-03-11 09:44:58
"101","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2055,0,2024-03-11 09:44:58
"102","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2060,0,2024-03-11 09:44:58
"103","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2065,0,2024-03-11 09:44:58
"104","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2070,0,2024-03-11 09:44:58
"105","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2075,0,2024-03-11 09:44:58
"106","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2080,0,2024-03-11 09:44:58
"107","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2085,0,2024-03-11 09:44:58
"108","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2090,0,2024-03-11 09:44:58
"109","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2095,10.5017,2024-03-11 09:44:58
"110","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2100,11.5409,2024-03-11 09:44:58
"111","km^3","PolicyReference","Africa_Eastern","groundwater grade13",1975,0,2024-03-11 09:44:58
"112","km^3","PolicyReference","Africa_Eastern","groundwater grade13",1990,0,2024-03-11 09:44:58
"113","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2005,0,2024-03-11 09:44:58
"114","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2010,0,2024-03-11 09:44:58
