"","Units","scenario","region","sector","output","year","value","rundate"
"136","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2045,384.06983,2024-02-05 13:29:59
"137","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2050,449.5384,2024-02-05 13:29:59
"138","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2055,518.93636,2024-02-05 13:29:59
"139","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2060,591.30026,2024-02-05 13:29:59
"140","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2065,665.50055,2024-02-05 13:29:59
"141","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2070,739.78095,2024-02-05 13:29:59
"142","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2075,812.31817,2024-02-05 13:29:59
"143","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2080,881.63054,2024-02-05 13:29:59
"144","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2085,946.4384,2024-02-05 13:29:59
"145","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2090,1006.0721,2024-02-05 13:29:59
"146","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2095,1060.2132,2024-02-05 13:29:59
"147","Pcal","Reference","Africa_Western","FoodDemand_NonStaples","FoodDemand_NonStaples",2100,1108.7131,2024-02-05 13:29:59
"148","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",1990,135.69977,2024-02-05 13:29:59
"149","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2005,211.4679,2024-02-05 13:29:59
"150","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2010,253.5249,2024-02-05 13:29:59
"151","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2015,294.1859,2024-02-05 13:29:59
"152","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2020,330.6682,2024-02-05 13:29:59
"153","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2025,365.909,2024-02-05 13:29:59
"154","Pcal","Reference","Africa_Western","FoodDemand_Staples","FoodDemand_Staples",2030,396.3968,2024-02-05 13:29:59
