"","Units","scenario","region","subresource","year","value","rundate"
"113","km^3","Reference","Africa_Eastern","groundwater grade13",2005,0,2024-02-05 13:29:59
"114","km^3","Reference","Africa_Eastern","groundwater grade13",2010,0,2024-02-05 13:29:59
"115","km^3","Reference","Africa_Eastern","groundwater grade13",2015,0,2024-02-05 13:29:59
"116","km^3","Reference","Africa_Eastern","groundwater grade13",2020,0,2024-02-05 13:29:59
"117","km^3","Reference","Africa_Eastern","groundwater grade13",2025,0,2024-02-05 13:29:59
"118","km^3","Reference","Africa_Eastern","groundwater grade13",2030,0,2024-02-05 13:29:59
"119","km^3","Reference","Africa_Eastern","groundwater grade13",2035,0,2024-02-05 13:29:59
"120","km^3","Reference","Africa_Eastern","groundwater grade13",2040,0,2024-02-05 13:29:59
"121","km^3","Reference","Africa_Eastern","groundwater grade13",2045,0,2024-02-05 13:29:59
"122","km^3","Reference","Africa_Eastern","groundwater grade13",2050,0,2024-02-05 13:29:59
"123","km^3","Reference","Africa_Eastern","groundwater grade13",2055,0,2024-02-05 13:29:59
"124","km^3","Reference","Africa_Eastern","groundwater grade13",2060,0,2024-02-05 13:29:59
"125","km^3","Reference","Africa_Eastern","groundwater grade13",2065,0,2024-02-05 13:29:59
"126","km^3","Reference","Africa_Eastern","groundwater grade13",2070,0,2024-02-05 13:29:59
"127","km^3","Reference","Africa_Eastern","groundwater grade13",2075,0,2024-02-05 13:29:59
"128","km^3","Reference","Africa_Eastern","groundwater grade13",2080,0,2024-02-05 13:29:59
"129","km^3","Reference","Africa_Eastern","groundwater grade13",2085,0,2024-02-05 13:29:59
"130","km^3","Reference","Africa_Eastern","groundwater grade13",2090,0,2024-02-05 13:29:59
"131","km^3","Reference","Africa_Eastern","groundwater grade13",2095,0.765663,2024-02-05 13:29:59
"132","km^3","Reference","Africa_Eastern","groundwater grade13",2100,16.3189,2024-02-05 13:29:59
"133","km^3","Reference","Africa_Eastern","groundwater grade14",1975,0,2024-02-05 13:29:59
"134","km^3","Reference","Africa_Eastern","groundwater grade14",1990,0,2024-02-05 13:29:59
"135","km^3","Reference","Africa_Eastern","groundwater grade14",2005,0,2024-02-05 13:29:59
"136","km^3","Reference","Africa_Eastern","groundwater grade14",2010,0,2024-02-05 13:29:59
"137","km^3","Reference","Africa_Eastern","groundwater grade14",2015,0,2024-02-05 13:29:59
"138","km^3","Reference","Africa_Eastern","groundwater grade14",2020,0,2024-02-05 13:29:59
"139","km^3","Reference","Africa_Eastern","groundwater grade14",2025,0,2024-02-05 13:29:59
"140","km^3","Reference","Africa_Eastern","groundwater grade14",2030,0,2024-02-05 13:29:59
"141","km^3","Reference","Africa_Eastern","groundwater grade14",2035,0,2024-02-05 13:29:59
"142","km^3","Reference","Africa_Eastern","groundwater grade14",2040,0,2024-02-05 13:29:59
"143","km^3","Reference","Africa_Eastern","groundwater grade14",2045,0,2024-02-05 13:29:59
"144","km^3","Reference","Africa_Eastern","groundwater grade14",2050,0,2024-02-05 13:29:59
"145","km^3","Reference","Africa_Eastern","groundwater grade14",2055,0,2024-02-05 13:29:59
"146","km^3","Reference","Africa_Eastern","groundwater grade14",2060,0,2024-02-05 13:29:59
"147","km^3","Reference","Africa_Eastern","groundwater grade14",2065,0,2024-02-05 13:29:59
"148","km^3","Reference","Africa_Eastern","groundwater grade14",2070,0,2024-02-05 13:29:59
"149","km^3","Reference","Africa_Eastern","groundwater grade14",2075,0,2024-02-05 13:29:59
"150","km^3","Reference","Africa_Eastern","groundwater grade14",2080,0,2024-02-05 13:29:59
"151","km^3","Reference","Africa_Eastern","groundwater grade14",2085,0,2024-02-05 13:29:59
"152","km^3","Reference","Africa_Eastern","groundwater grade14",2090,0,2024-02-05 13:29:59
"153","km^3","Reference","Africa_Eastern","groundwater grade14",2095,0,2024-02-05 13:29:59
"154","km^3","Reference","Africa_Eastern","groundwater grade14",2100,0.259443,2024-02-05 13:29:59
"155","km^3","Reference","Africa_Eastern","groundwater grade15",1975,0,2024-02-05 13:29:59
"156","km^3","Reference","Africa_Eastern","groundwater grade15",1990,0,2024-02-05 13:29:59
"157","km^3","Reference","Africa_Eastern","groundwater grade15",2005,0,2024-02-05 13:29:59
"158","km^3","Reference","Africa_Eastern","groundwater grade15",2010,0,2024-02-05 13:29:59
"159","km^3","Reference","Africa_Eastern","groundwater grade15",2015,0,2024-02-05 13:29:59
"160","km^3","Reference","Africa_Eastern","groundwater grade15",2020,0,2024-02-05 13:29:59
"161","km^3","Reference","Africa_Eastern","groundwater grade15",2025,0,2024-02-05 13:29:59
"162","km^3","Reference","Africa_Eastern","groundwater grade15",2030,0,2024-02-05 13:29:59
"163","km^3","Reference","Africa_Eastern","groundwater grade15",2035,0,2024-02-05 13:29:59
"164","km^3","Reference","Africa_Eastern","groundwater grade15",2040,0,2024-02-05 13:29:59
"165","km^3","Reference","Africa_Eastern","groundwater grade15",2045,0,2024-02-05 13:29:59
"166","km^3","Reference","Africa_Eastern","groundwater grade15",2050,0,2024-02-05 13:29:59
"167","km^3","Reference","Africa_Eastern","groundwater grade15",2055,0,2024-02-05 13:29:59
"168","km^3","Reference","Africa_Eastern","groundwater grade15",2060,0,2024-02-05 13:29:59
"169","km^3","Reference","Africa_Eastern","groundwater grade15",2065,0,2024-02-05 13:29:59
"170","km^3","Reference","Africa_Eastern","groundwater grade15",2070,0,2024-02-05 13:29:59
"171","km^3","Reference","Africa_Eastern","groundwater grade15",2075,0,2024-02-05 13:29:59
"172","km^3","Reference","Africa_Eastern","groundwater grade15",2080,0,2024-02-05 13:29:59
"173","km^3","Reference","Africa_Eastern","groundwater grade15",2085,0,2024-02-05 13:29:59
"174","km^3","Reference","Africa_Eastern","groundwater grade15",2090,0,2024-02-05 13:29:59
"175","km^3","Reference","Africa_Eastern","groundwater grade15",2095,0,2024-02-05 13:29:59
"176","km^3","Reference","Africa_Eastern","groundwater grade15",2100,0,2024-02-05 13:29:59
"177","km^3","Reference","Africa_Eastern","groundwater grade16",1975,0,2024-02-05 13:29:59
"178","km^3","Reference","Africa_Eastern","groundwater grade16",1990,0,2024-02-05 13:29:59
"179","km^3","Reference","Africa_Eastern","groundwater grade16",2005,0,2024-02-05 13:29:59
"180","km^3","Reference","Africa_Eastern","groundwater grade16",2010,0,2024-02-05 13:29:59
"181","km^3","Reference","Africa_Eastern","groundwater grade16",2015,0,2024-02-05 13:29:59
"182","km^3","Reference","Africa_Eastern","groundwater grade16",2020,0,2024-02-05 13:29:59
"183","km^3","Reference","Africa_Eastern","groundwater grade16",2025,0,2024-02-05 13:29:59
